年月,銀行,銀行英文,全行外匯活期存款,全行外匯定期存款,全行總額,國內外匯活期存款,國內外匯定期存款,國內總額,海外外匯活期存款,海外外匯定期存款,海外總額,金控註記
9912,匯豐,,80536000000,33503000000,114039000000,50034000000,14696000000,64729000000,30502000000,18807000000,49310000000,0
9912,京城商業銀行,,1625000000,6435000000,8059000000,1450000000,4885000000,6335000000,175000000,1550000000,1724000000,0
9912,臺灣工業銀行,,1251000000,8252000000,9503000000,946000000,3851000000,4797000000,305000000,4401000000,4706000000,0
9912,臺灣中小企業銀行,,59681000000,40757000000,100438000000,42897000000,27770000000,70667000000,16784000000,12987000000,29771000000,0
9912,外國銀行在臺分行,,150584000000,128111000000,278696000000,97828000000,77991000000,175820000000,52756000000,50120000000,102876000000,0
9912,台北富邦銀行,,90946000000,89009000000,179955000000,76750000000,73263000000,150013000000,14196000000,15746000000,29942000000,1
9912,華泰商業銀行,,1191000000,830000000,2021000000,1124000000,759000000,1883000000,67000000,71000000,138000000,0
9912,花旗,,304248000000,62029000000,366277000000,201163000000,36712000000,237875000000,103085000000,25317000000,128402000000,0
9912,安泰商業銀行,,7951000000,14867000000,22818000000,7203000000,13234000000,20437000000,748000000,1633000000,2381000000,0
9912,臺灣新光商業銀行,,15126000000,15983000000,31110000000,11992000000,12697000000,24689000000,3134000000,3286000000,6421000000,1
9912,聯邦商業銀行,,8571000000,18157000000,26728000000,6886000000,14010000000,20896000000,1685000000,4147000000,5832000000,0
9912,大台北商業銀行,,158000000,50000000,209000000,158000000,50000000,209000000,0,0,0,0
9912,永豐商業銀行,,87762000000,63374000000,151136000000,41030000000,29636000000,70666000000,46732000000,33738000000,80470000000,1
9912,三信商業銀行,,628000000,649000000,1278000000,614000000,634000000,1248000000,14000000,15000000,30000000,0
9912,板信商業銀行,,3223000000,3659000000,6883000000,2868000000,3095000000,5963000000,355000000,564000000,920000000,0
9912,元大商業銀行,,17744000000,21271000000,39015000000,15107000000,17076000000,32183000000,2637000000,4195000000,6832000000,1
9912,第一商業銀行,,140431000000,139244000000,279675000000,93739000000,80987000000,174726000000,46692000000,58257000000,104949000000,1
9912,國泰世華商業銀行,,72246000000,80197000000,152443000000,58172000000,45381000000,103553000000,14074000000,34816000000,48890000000,1
9912,華南商業銀行,,136952000000,103974000000,240926000000,93288000000,67524000000,160812000000,43664000000,36450000000,80114000000,1
9912,中國信託商業銀行,,159906000000,130425000000,290331000000,80378000000,38172000000,118550000000,79528000000,92253000000,171781000000,1
9912,台新國際商業銀行,,86554000000,66674000000,153228000000,66784000000,41203000000,107987000000,19770000000,25471000000,45241000000,1
9912,遠東國際商業銀行,,10236000000,30966000000,41202000000,7577000000,10173000000,17749000000,2659000000,20793000000,23453000000,0
9912,臺灣土地銀行,,25795000000,44303000000,70097000000,22274000000,27260000000,49534000000,3521000000,17043000000,20563000000,0
9912,玉山商業銀行,,57662000000,57936000000,115599000000,36419000000,38571000000,74990000000,21243000000,19365000000,40609000000,1
9912,合作金庫商業銀行,,77666000000,83929000000,161595000000,64219000000,64684000000,128902000000,13447000000,19245000000,32693000000,0
9912,中華開發工業銀行,,3340000000,14522000000,17862000000,1881000000,7012000000,8893000000,1459000000,7510000000,8969000000,1
9912,台中商業銀行,,7453000000,7817000000,15270000000,6164000000,6095000000,12258000000,1289000000,1722000000,3012000000,0
9912,慶豐商業銀行,,0,0,0,0,0,0,0,0,0,0
9912,兆豐國際商業銀行,,284755000000,288387000000,573142000000,139912000000,110109000000,250021000000,144843000000,178278000000,323121000000,1
9912,彰化商業銀行,,92274000000,99056000000,191330000000,63545000000,60342000000,123887000000,28729000000,38714000000,67443000000,1
9912,陽信商業銀行,,4550000000,2992000000,7542000000,2789000000,2779000000,5568000000,1761000000,213000000,1974000000,0
9912,高雄銀行,,3096000000,4928000000,8024000000,2648000000,3206000000,5853000000,448000000,1722000000,2171000000,0
9912,中國輸出入銀行,,0,0,0,0,0,0,0,0,0,0
9912,大眾商業銀行,,28875000000,23169000000,52044000000,20618000000,17113000000,37731000000,8257000000,6056000000,14313000000,0
9912,萬泰商業銀行,,3428000000,1290000000,4717000000,3297000000,1278000000,4575000000,131000000,12000000,142000000,0
9912,日盛國際商業銀行,,6988000000,6165000000,13153000000,5995000000,4346000000,10341000000,993000000,1819000000,2812000000,1
9912,上海商業儲蓄銀行,,88774000000,76342000000,165116000000,33534000000,26721000000,60254000000,55240000000,49621000000,104862000000,0
9912,臺灣銀行,,94777000000,241518000000,336295000000,77869000000,202522000000,280390000000,16908000000,38996000000,55905000000,1
9912,渣打國際商業銀行,,82866000000,22429000000,105295000000,70718000000,18076000000,88794000000,12148000000,4353000000,16501000000,0
