年月,銀行,銀行英文,全行外匯活期存款,全行外匯定期存款,全行總額,國內外匯活期存款,國內外匯定期存款,國內總額,海外外匯活期存款,海外外匯定期存款,海外總額,金控註記
9711,京城商業銀行,,940000000,2509000000,3449000000,853000000,2275000000,3128000000,87000000,234000000,321000000,0
9711,臺灣工業銀行,,722000000,5930000000,6652000000,563000000,3621000000,4184000000,159000000,2309000000,2468000000,0
9711,臺中商業銀行,,2583000000,5595000000,8178000000,1911000000,4725000000,6637000000,672000000,870000000,1541000000,0
9711,臺灣中小企業銀行,,34687000000,51859000000,86546000000,23325000000,33692000000,57017000000,11362000000,18167000000,29529000000,0
9711,彰化商業銀行,,76184000000,110810000000,186994000000,56155000000,65050000000,121205000000,20029000000,45760000000,65789000000,0
9711,中華商業銀行,,0,0,0,0,0,0,0,0,0,0
9711,稻江商業銀行,,0,0,0,0,0,0,0,0,0,0
9711,台北富邦銀行,,41118000000,120635000000,161753000000,35083000000,101194000000,136277000000,6035000000,19441000000,25476000000,1
9711,臺灣土地銀行,,17539000000,57912000000,75450000000,15366000000,38548000000,53914000000,2173000000,19364000000,21536000000,1
9711,華泰商業銀行,,563000000,1064000000,1627000000,553000000,1037000000,1590000000,10000000,27000000,37000000,0
9711,花旗,,15332000000,20996000000,36328000000,8348000000,12299000000,20647000000,6984000000,8697000000,15681000000,0
9711,安泰商業銀行,,3666000000,12336000000,16003000000,3094000000,10717000000,13811000000,572000000,1619000000,2192000000,0
9711,臺灣新光商業銀行,,3005000000,20749000000,23754000000,2561000000,19327000000,21889000000,444000000,1422000000,1865000000,1
9711,聯邦商業銀行,,4015000000,19951000000,23966000000,3141000000,15185000000,18326000000,874000000,4766000000,5640000000,0
9711,遠東國際商業銀行,,6412000000,52086000000,58498000000,4823000000,16462000000,21285000000,1589000000,35624000000,37213000000,0
9711,永豐商業銀行,,52995000000,96955000000,149950000000,25246000000,41835000000,67081000000,27749000000,55120000000,82869000000,1
9711,三信商業銀行,,220000000,769000000,989000000,201000000,750000000,951000000,19000000,19000000,38000000,0
9711,板信商業銀行,,1399000000,4356000000,5755000000,1111000000,3249000000,4360000000,288000000,1107000000,1395000000,0
9711,元大商業銀行,,6522000000,19602000000,26125000000,5285000000,13297000000,18582000000,1237000000,6305000000,7543000000,1
9711,外國銀行在台分行,,224827000000,300157000000,524983000000,158282000000,154254000000,312536000000,66545000000,145903000000,212447000000,0
9711,第一商業銀行,,83176000000,176033000000,259208000000,52312000000,102625000000,154937000000,30864000000,73408000000,104271000000,1
9711,國泰世華商業銀行,,31011000000,92864000000,123875000000,24633000000,57176000000,81809000000,6378000000,35688000000,42066000000,1
9711,華南商業銀行,,95016000000,136429000000,231444000000,67198000000,89254000000,156452000000,27818000000,47175000000,74992000000,1
9711,中國信託商業銀行,,93289000000,174225000000,267515000000,54659000000,71299000000,125958000000,38630000000,102926000000,141557000000,1
9711,寶華商業銀行,,0,0,0,0,0,0,0,0,0,0
9711,台新國際商業銀行,,30424000000,84007000000,114431000000,20720000000,55656000000,76376000000,9704000000,28351000000,38055000000,1
9711,慶豐商業銀行,,1607000000,2175000000,3782000000,303000000,1080000000,1383000000,1304000000,1095000000,2399000000,0
9711,大眾商業銀行,,11015000000,24090000000,35105000000,7992000000,16198000000,24189000000,3023000000,7892000000,10916000000,0
9711,玉山商業銀行,,30808000000,62546000000,93354000000,20469000000,40926000000,61396000000,10339000000,21620000000,31958000000,1
9711,合作金庫商業銀行,,43800000000,131773000000,175573000000,36046000000,106831000000,142877000000,7754000000,24942000000,32696000000,0
9711,中華開發工業銀行,,1281000000,17200000000,18481000000,626000000,5025000000,5652000000,655000000,12175000000,12829000000,1
9711,兆豐國際商業銀行,,168876000000,363078000000,531954000000,83938000000,161801000000,245739000000,84938000000,201277000000,286215000000,1
9711,陽信商業銀行,,1603000000,5184000000,6787000000,1366000000,4864000000,6230000000,237000000,320000000,557000000,0
9711,高雄銀行,,1639000000,5418000000,7058000000,1390000000,3960000000,5350000000,249000000,1458000000,1708000000,0
9711,萬泰商業銀行,,1758000000,1974000000,3732000000,1638000000,1972000000,3610000000,120000000,2000000,122000000,0
9711,日盛國際商業銀行,,5552000000,9774000000,15326000000,4764000000,7682000000,12447000000,788000000,2092000000,2879000000,1
9711,上海商業儲蓄銀行,,49042000000,97484000000,146526000000,17738000000,35060000000,52797000000,31304000000,62424000000,93729000000,0
9711,臺灣銀行,,54261000000,321679000000,375940000000,43873000000,265172000000,309045000000,10388000000,56507000000,66895000000,1
9711,中國輸出入銀行,,0,0,0,0,0,0,0,0,0,1
9711,渣打國際商業銀行,,40156000000,35639000000,75795000000,32624000000,27224000000,59848000000,7532000000,8415000000,15947000000,0
