年月,銀行,銀行英文,全行外匯活期存款,全行外匯定期存款,全行總額,國內外匯活期存款,國內外匯定期存款,國內總額,海外外匯活期存款,海外外匯定期存款,海外總額,金控註記
10111,匯豐,,83562000000,31640000000,115203000000,53969000000,18061000000,72030000000,29593000000,13579000000,43173000000,0
10111,京城商業銀行,,2344000000,3101000000,5444000000,1964000000,1818000000,3782000000,380000000,1283000000,1662000000,0
10111,臺灣工業銀行,,7726000000,12610000000,20336000000,5531000000,3346000000,8877000000,2195000000,9264000000,11459000000,0
10111,星展,,15933000000,20202000000,36135000000,13027000000,10474000000,23501000000,2906000000,9728000000,12634000000,0
10111,臺灣中小企業銀行,,68831000000,43166000000,111997000000,49750000000,29382000000,79133000000,19081000000,13784000000,32864000000,0
10111,台北富邦銀行,,98884000000,108894000000,207777000000,82109000000,74015000000,156123000000,16775000000,34879000000,51654000000,1
10111,合作金庫商業銀行,,96294000000,95306000000,191600000000,75346000000,68840000000,144186000000,20948000000,26466000000,47414000000,1
10111,華泰商業銀行,,1869000000,2437000000,4306000000,1565000000,2000000000,3565000000,304000000,437000000,741000000,0
10111,花旗,,279580000000,30755000000,310334000000,181264000000,21074000000,202338000000,98316000000,9681000000,107996000000,0
10111,安泰商業銀行,,9717000000,19804000000,29521000000,8493000000,15940000000,24434000000,1224000000,3864000000,5087000000,0
10111,臺灣新光商業銀行,,35269000000,33986000000,69255000000,26043000000,20785000000,46828000000,9226000000,13201000000,22427000000,1
10111,聯邦商業銀行,,9594000000,23157000000,32751000000,7973000000,18541000000,26514000000,1621000000,4616000000,6237000000,0
10111,大台北商業銀行,,245000000,172000000,417000000,245000000,172000000,417000000,0,0,0,0
10111,永豐商業銀行,,107238000000,66050000000,173288000000,54527000000,24056000000,78584000000,52711000000,41994000000,94704000000,1
10111,三信商業銀行,,686000000,671000000,1357000000,627000000,655000000,1282000000,59000000,16000000,75000000,0
10111,板信商業銀行,,3346000000,4499000000,7845000000,2821000000,3894000000,6715000000,525000000,605000000,1130000000,0
10111,元大商業銀行,,18858000000,34237000000,53095000000,15656000000,21992000000,37648000000,3202000000,12245000000,15447000000,1
10111,外國銀行在臺分行,,159762000000,97477000000,257239000000,91173000000,37701000000,128874000000,68589000000,59776000000,128365000000,0
10111,第一商業銀行,,171712000000,147420000000,319132000000,118308000000,76028000000,194337000000,53404000000,71392000000,124795000000,1
10111,國泰世華商業銀行,,110334000000,96596000000,206930000000,87372000000,63027000000,150399000000,22962000000,33569000000,56531000000,1
10111,華南商業銀行,,156878000000,117530000000,274408000000,103855000000,73927000000,177783000000,53023000000,43603000000,96625000000,1
10111,中國信託商業銀行,,184560000000,161059000000,345619000000,88828000000,47354000000,136182000000,95732000000,113705000000,209437000000,1
10111,台新國際商業銀行,,85772000000,76790000000,162562000000,58921000000,39821000000,98742000000,26851000000,36969000000,63820000000,1
10111,遠東國際商業銀行,,12291000000,34886000000,47177000000,9256000000,14412000000,23668000000,3035000000,20474000000,23509000000,0
10111,臺灣土地銀行,,40031000000,50603000000,90633000000,36240000000,26870000000,63110000000,3791000000,23733000000,27523000000,0
10111,玉山商業銀行,,77149000000,77408000000,154556000000,49629000000,49023000000,98652000000,27520000000,28385000000,55904000000,1
10111,中華開發工業銀行,,4346000000,33454000000,37799000000,2834000000,20951000000,23785000000,1512000000,12503000000,14014000000,1
10111,台中商業銀行,,10003000000,10632000000,20635000000,7875000000,7636000000,15512000000,2128000000,2996000000,5123000000,0
10111,兆豐國際商業銀行,,337409000000,298506000000,635915000000,164818000000,98418000000,263236000000,172591000000,200088000000,372679000000,1
10111,彰化商業銀行,,103762000000,84652000000,188414000000,73375000000,48336000000,121711000000,30387000000,36316000000,66703000000,1
10111,陽信商業銀行,,3278000000,4619000000,7897000000,2779000000,4241000000,7021000000,499000000,378000000,876000000,0
10111,高雄銀行,,3543000000,5044000000,8588000000,2984000000,3500000000,6484000000,559000000,1544000000,2104000000,0
10111,中國輸出入銀行,,0,0,0,0,0,0,0,0,0,0
10111,大眾商業銀行,,28652000000,32953000000,61605000000,21698000000,22560000000,44258000000,6954000000,10393000000,17347000000,0
10111,萬泰商業銀行,,3603000000,4825000000,8428000000,3388000000,4300000000,7688000000,215000000,525000000,740000000,0
10111,日盛國際商業銀行,,8403000000,9805000000,18208000000,7318000000,7713000000,15031000000,1085000000,2092000000,3177000000,1
10111,上海商業儲蓄銀行,,92330000000,100112000000,192443000000,33670000000,35964000000,69634000000,58660000000,64148000000,122809000000,0
10111,臺灣銀行,,121164000000,233440000000,354603000000,100150000000,172837000000,272987000000,21014000000,60603000000,81616000000,1
10111,渣打國際商業銀行,,73607000000,39542000000,113149000000,60754000000,32212000000,92966000000,12853000000,7330000000,20183000000,0
