年月,銀行,銀行英文,全行外匯活期存款,全行外匯定期存款,全行總額,國內外匯活期存款,國內外匯定期存款,國內總額,海外外匯活期存款,海外外匯定期存款,海外總額,金控註記
9910,匯豐,,68196000000,41405000000,109602000000,43409000000,19942000000,63351000000,24787000000,21463000000,46251000000,0
9910,京城商業銀行,,1758000000,6293000000,8051000000,1549000000,4782000000,6331000000,209000000,1511000000,1720000000,0
9910,臺灣工業銀行,,1511000000,9401000000,10912000000,1269000000,3623000000,4891000000,242000000,5778000000,6021000000,0
9910,臺灣中小企業銀行,,59442000000,41339000000,100781000000,42451000000,27593000000,70044000000,16991000000,13746000000,30737000000,0
9910,外國銀行在臺分行,,146255000000,116478000000,262734000000,94024000000,60676000000,154700000000,52231000000,55802000000,108034000000,0
9910,台北富邦銀行,,90108000000,74948000000,165056000000,76847000000,60874000000,137721000000,13261000000,14074000000,27335000000,1
9910,華泰商業銀行,,1806000000,922000000,2728000000,1712000000,793000000,2505000000,94000000,129000000,223000000,0
9910,花旗,,265331000000,74061000000,339391000000,182386000000,42561000000,224948000000,82945000000,31500000000,114443000000,0
9910,安泰商業銀行,,7123000000,14268000000,21390000000,6408000000,12558000000,18966000000,715000000,1710000000,2424000000,0
9910,臺灣新光商業銀行,,15233000000,16523000000,31756000000,12344000000,13418000000,25762000000,2889000000,3105000000,5994000000,1
9910,聯邦商業銀行,,8512000000,17194000000,25706000000,6802000000,13014000000,19816000000,1710000000,4180000000,5890000000,0
9910,大台北商業銀行,,51000000,33000000,85000000,51000000,33000000,85000000,0,0,0,0
9910,永豐商業銀行,,86465000000,63375000000,149840000000,41103000000,27622000000,68724000000,45362000000,35753000000,81116000000,1
9910,三信商業銀行,,566000000,617000000,1183000000,536000000,602000000,1138000000,30000000,15000000,45000000,0
9910,板信商業銀行,,3191000000,3909000000,7100000000,2820000000,3282000000,6102000000,371000000,627000000,998000000,0
9910,元大商業銀行,,15695000000,24152000000,39847000000,13541000000,13177000000,26718000000,2154000000,10975000000,13129000000,1
9910,第一商業銀行,,141447000000,137561000000,279008000000,93504000000,81964000000,175468000000,47943000000,55597000000,103540000000,1
9910,國泰世華商業銀行,,70541000000,67601000000,138142000000,57656000000,42291000000,99947000000,12885000000,25310000000,38195000000,1
9910,華南商業銀行,,139879000000,108446000000,248326000000,96438000000,65660000000,162098000000,43441000000,42786000000,86228000000,1
9910,中國信託商業銀行,,170653000000,119024000000,289677000000,93054000000,34449000000,127503000000,77599000000,84575000000,162174000000,1
9910,台新國際商業銀行,,73211000000,64463000000,137674000000,55206000000,43536000000,98742000000,18005000000,20927000000,38932000000,1
9910,遠東國際商業銀行,,9968000000,31561000000,41529000000,7689000000,8356000000,16044000000,2279000000,23205000000,25485000000,0
9910,臺灣土地銀行,,24977000000,45839000000,70816000000,21697000000,26240000000,47937000000,3280000000,19599000000,22879000000,0
9910,玉山商業銀行,,55583000000,58237000000,113820000000,36159000000,38500000000,74658000000,19424000000,19737000000,39162000000,1
9910,合作金庫商業銀行,,78172000000,84419000000,162592000000,64342000000,64353000000,128696000000,13830000000,20066000000,33896000000,0
9910,中華開發工業銀行,,3119000000,15402000000,18521000000,1527000000,7699000000,9226000000,1592000000,7703000000,9295000000,1
9910,台中商業銀行,,7361000000,6823000000,14184000000,6139000000,5142000000,11281000000,1222000000,1681000000,2903000000,0
9910,慶豐商業銀行,,0,0,0,0,0,0,0,0,0,0
9910,兆豐國際商業銀行,,301825000000,264418000000,566243000000,154406000000,97769000000,252175000000,147419000000,166649000000,314068000000,1
9910,彰化商業銀行,,92686000000,97002000000,189689000000,63235000000,56694000000,119929000000,29451000000,40308000000,69760000000,1
9910,陽信商業銀行,,3626000000,3061000000,6688000000,3098000000,2788000000,5886000000,528000000,273000000,802000000,0
9910,高雄銀行,,3374000000,5472000000,8845000000,2906000000,3129000000,6035000000,468000000,2343000000,2810000000,0
9910,中國輸出入銀行,,0,0,0,0,0,0,0,0,0,0
9910,大眾商業銀行,,27100000000,19784000000,46883000000,20279000000,12656000000,32935000000,6821000000,7128000000,13948000000,0
9910,萬泰商業銀行,,3691000000,1282000000,4973000000,3589000000,1270000000,4859000000,102000000,12000000,114000000,0
9910,日盛國際商業銀行,,6832000000,5971000000,12804000000,5995000000,4298000000,10293000000,837000000,1673000000,2511000000,1
9910,上海商業儲蓄銀行,,83254000000,65833000000,149086000000,32085000000,25655000000,57740000000,51169000000,40178000000,91346000000,0
9910,臺灣銀行,,94329000000,255931000000,350260000000,78442000000,208910000000,287352000000,15887000000,47021000000,62908000000,1
9910,渣打國際商業銀行,,83505000000,19041000000,102546000000,67424000000,14642000000,82066000000,16081000000,4399000000,20480000000,0
