年月,銀行,銀行英文,全行外匯活期存款,全行外匯定期存款,全行總額,國內外匯活期存款,國內外匯定期存款,國內總額,海外外匯活期存款,海外外匯定期存款,海外總額,金控註記
10101,匯豐,,97351000000,27208000000,124559000000,67395000000,14630000000,82024000000,29956000000,12578000000,42535000000,0
10101,京城商業銀行,,2434000000,3750000000,6184000000,2221000000,2262000000,4483000000,213000000,1488000000,1701000000,0
10101,臺灣工業銀行,,2627000000,12719000000,15345000000,1592000000,6488000000,8080000000,1035000000,6231000000,7265000000,0
10101,星展,,8058000000,18893000000,26952000000,6955000000,13466000000,20421000000,1103000000,5427000000,6531000000,0
10101,臺灣中小企業銀行,,61625000000,43000000000,104625000000,44033000000,30005000000,74038000000,17592000000,12995000000,30587000000,0
10101,台北富邦銀行,,99455000000,96893000000,196348000000,84638000000,70513000000,155151000000,14817000000,26380000000,41197000000,1
10101,合作金庫商業銀行,,85689000000,106024000000,191713000000,68157000000,77838000000,145995000000,17532000000,28186000000,45718000000,1
10101,華泰商業銀行,,1460000000,920000000,2380000000,1375000000,832000000,2207000000,85000000,88000000,173000000,0
10101,花旗,,289308000000,34121000000,323428000000,203501000000,22730000000,226231000000,85807000000,11391000000,97197000000,0
10101,安泰商業銀行,,8472000000,15765000000,24237000000,6503000000,13517000000,20019000000,1969000000,2248000000,4218000000,0
10101,臺灣新光商業銀行,,23121000000,23966000000,47087000000,17346000000,15971000000,33318000000,5775000000,7995000000,13769000000,1
10101,聯邦商業銀行,,8143000000,19692000000,27835000000,6572000000,15653000000,22225000000,1571000000,4039000000,5610000000,0
10101,大台北商業銀行,,145000000,91000000,236000000,145000000,91000000,236000000,0,0,0,0
10101,永豐商業銀行,,94949000000,67946000000,162896000000,47180000000,29103000000,76283000000,47769000000,38843000000,86613000000,1
10101,三信商業銀行,,563000000,678000000,1241000000,551000000,656000000,1208000000,12000000,22000000,33000000,0
10101,板信商業銀行,,4075000000,3357000000,7433000000,3496000000,2913000000,6408000000,579000000,444000000,1025000000,0
10101,元大商業銀行,,17779000000,29912000000,47690000000,15323000000,21679000000,37002000000,2456000000,8233000000,10688000000,1
10101,外國銀行在臺分行,,147364000000,93361000000,240725000000,93275000000,58319000000,151594000000,54089000000,35042000000,89131000000,0
10101,第一商業銀行,,148385000000,144654000000,293040000000,98380000000,79392000000,177772000000,50005000000,65262000000,115268000000,1
10101,國泰世華商業銀行,,81903000000,98725000000,180628000000,65570000000,61815000000,127385000000,16333000000,36910000000,53243000000,1
10101,華南商業銀行,,144381000000,120608000000,264989000000,97050000000,71779000000,168829000000,47331000000,48829000000,96160000000,1
10101,中國信託商業銀行,,174094000000,163271000000,337365000000,90582000000,59329000000,149911000000,83512000000,103942000000,187454000000,1
10101,台新國際商業銀行,,76752000000,63721000000,140473000000,58212000000,35343000000,93556000000,18540000000,28378000000,46917000000,1
10101,遠東國際商業銀行,,12924000000,35142000000,48065000000,9920000000,12014000000,21934000000,3004000000,23128000000,26131000000,0
10101,臺灣土地銀行,,26308000000,46495000000,72802000000,23573000000,24534000000,48107000000,2735000000,21961000000,24695000000,0
10101,玉山商業銀行,,65190000000,66702000000,131892000000,39323000000,41036000000,80359000000,25867000000,25666000000,51533000000,1
10101,中華開發工業銀行,,3323000000,28254000000,31577000000,2005000000,17799000000,19804000000,1318000000,10455000000,11773000000,1
10101,台中商業銀行,,8331000000,7256000000,15588000000,6577000000,5319000000,11896000000,1754000000,1937000000,3692000000,0
10101,兆豐國際商業銀行,,324804000000,294186000000,618990000000,159775000000,110265000000,270040000000,165029000000,183921000000,348950000000,1
10101,彰化商業銀行,,96344000000,89679000000,186023000000,67548000000,53430000000,120978000000,28796000000,36249000000,65045000000,1
10101,陽信商業銀行,,3484000000,3024000000,6507000000,2999000000,2888000000,5886000000,485000000,136000000,621000000,0
10101,高雄銀行,,4082000000,4811000000,8893000000,3571000000,3273000000,6844000000,511000000,1538000000,2049000000,0
10101,中國輸出入銀行,,0,0,0,0,0,0,0,0,0,0
10101,大眾商業銀行,,26774000000,25177000000,51951000000,19418000000,17485000000,36904000000,7356000000,7692000000,15047000000,0
10101,萬泰商業銀行,,3382000000,2460000000,5843000000,3228000000,2443000000,5671000000,154000000,17000000,172000000,0
10101,日盛國際商業銀行,,7812000000,7903000000,15715000000,7114000000,6594000000,13708000000,698000000,1309000000,2007000000,1
10101,上海商業儲蓄銀行,,87399000000,87694000000,175093000000,33496000000,29478000000,62974000000,53903000000,58216000000,112119000000,0
10101,臺灣銀行,,113566000000,254840000000,368406000000,92948000000,203326000000,296274000000,20618000000,51514000000,72132000000,1
10101,渣打國際商業銀行,,98073000000,32824000000,130897000000,85021000000,24328000000,109349000000,13052000000,8496000000,21548000000,0
