年月,銀行,銀行英文,全行外匯活期存款,全行外匯定期存款,全行總額,國內外匯活期存款,國內外匯定期存款,國內總額,海外外匯活期存款,海外外匯定期存款,海外總額,金控註記
9503,花蓮區中小企業銀行,,0,0,0,0,0,0,0,0,0,0
9503,建華商業銀行,,36021000000,59414000000,95435000000,18545000000,29262000000,47807000000,17476000000,30152000000,47628000000,1
9503,交通銀行,,9126000000,32273000000,41399000000,8394000000,23464000000,31857000000,732000000,8809000000,9542000000,1
9503,臺灣工業銀行,,665000000,8480000000,9144000000,464000000,5843000000,6306000000,201000000,2637000000,2838000000,0
9503,臺中商業銀行,,2210000000,3273000000,5483000000,1659000000,2765000000,4424000000,551000000,508000000,1059000000,0
9503,臺灣中小企業銀行,,30308000000,36940000000,67247000000,20224000000,27268000000,47492000000,10084000000,9672000000,19755000000,0
9503,彰化商業銀行,,50539000000,64979000000,115518000000,33902000000,44394000000,78296000000,16637000000,20585000000,37222000000,0
9503,第七商業銀行,,0,0,0,0,0,0,0,0,0,1
9503,中國國際商業銀行,,128554000000,223481000000,352035000000,58817000000,105571000000,164389000000,69737000000,117910000000,187646000000,1
9503,新竹國際商業銀行,,5622000000,8056000000,13678000000,4978000000,7160000000,12138000000,644000000,896000000,1540000000,0
9503,台北富邦銀行,,23956000000,48044000000,72000000000,21154000000,43510000000,64664000000,2802000000,4534000000,7336000000,1
9503,中央信託局,,1713000000,10209000000,11922000000,1616000000,9871000000,11487000000,97000000,338000000,435000000,0
9503,臺南區中小企業銀行,,817000000,1333000000,2150000000,695000000,1281000000,1976000000,122000000,52000000,174000000,0
9503,華泰商業銀行,,235000000,855000000,1090000000,231000000,843000000,1074000000,4000000,12000000,16000000,0
9503,臺北國際商業銀行,,14053000000,15411000000,29464000000,8113000000,9152000000,17265000000,5940000000,6259000000,12199000000,1
9503,安泰商業銀行,,2187000000,5226000000,7413000000,1809000000,4861000000,6670000000,378000000,365000000,743000000,0
9503,臺灣新光商業銀行,,1317000000,2669000000,3986000000,1205000000,2337000000,3542000000,112000000,332000000,444000000,1
9503,聯邦商業銀行,,3881000000,12640000000,16520000000,2874000000,7612000000,10486000000,1007000000,5028000000,6034000000,0
9503,遠東國際商業銀行,,5864000000,20078000000,25942000000,3679000000,9321000000,13000000000,2185000000,10757000000,12942000000,0
9503,三信商業銀行,,84000000,397000000,481000000,84000000,397000000,481000000,0,0,0,0
9503,板信商業銀行,,717000000,1949000000,2666000000,622000000,1356000000,1977000000,95000000,593000000,689000000,0
9503,玉山商業銀行,,14854000000,38429000000,53283000000,8871000000,25566000000,34437000000,5983000000,12863000000,18846000000,1
9503,臺灣銀行,,32484000000,103389000000,135873000000,23986000000,89268000000,113254000000,8498000000,14121000000,22619000000,0
9503,外國銀行在台分行,,197077000000,238238000000,435315000000,127897000000,123634000000,251531000000,69180000000,114604000000,183784000000,0
9503,第一商業銀行,,62260000000,85407000000,147668000000,39857000000,58917000000,98773000000,22403000000,26490000000,48895000000,1
9503,寶華商業銀行,,1046000000,3686000000,4732000000,858000000,3293000000,4151000000,188000000,393000000,581000000,0
9503,國泰世華商業銀行,,18779000000,34611000000,53390000000,13421000000,24985000000,38406000000,5358000000,9626000000,14984000000,1
9503,中華商業銀行,,1401000000,4522000000,5923000000,1058000000,4034000000,5092000000,343000000,488000000,831000000,0
9503,華南商業銀行,,70338000000,107044000000,177382000000,47827000000,77060000000,124887000000,22511000000,29984000000,52495000000,1
9503,臺灣新光商業銀行,,0,0,0,0,0,0,0,0,0,1
9503,中國信託商業銀行,,65354000000,129824000000,195178000000,36495000000,66287000000,102783000000,28859000000,63537000000,92395000000,1
9503,台新國際商業銀行,,27432000000,93548000000,120980000000,20005000000,57139000000,77144000000,7427000000,36409000000,43836000000,1
9503,慶豐商業銀行,,1982000000,4341000000,6323000000,535000000,2601000000,3136000000,1447000000,1740000000,3187000000,0
9503,復華商業銀行,,3794000000,12737000000,16531000000,2570000000,8657000000,11227000000,1224000000,4080000000,5304000000,1
9503,臺灣土地銀行,,9157000000,30384000000,39541000000,7948000000,25226000000,33174000000,1209000000,5158000000,6367000000,0
9503,合作金庫銀行,,18641000000,50848000000,69489000000,15397000000,44935000000,60333000000,3244000000,5913000000,9156000000,0
9503,華僑商業銀行,,20174000000,25859000000,46033000000,10538000000,12680000000,23218000000,9636000000,13179000000,22815000000,0
9503,中華開發工業銀行,,4616000000,4710000000,9327000000,314000000,548000000,862000000,4302000000,4162000000,8465000000,1
9503,中國農民銀行,,11198000000,16478000000,27676000000,8833000000,10610000000,19443000000,2365000000,5868000000,8233000000,0
9503,陽信商業銀行,,821000000,2096000000,2917000000,771000000,2010000000,2781000000,50000000,86000000,136000000,0
9503,高雄銀行,,1692000000,3099000000,4791000000,1465000000,2805000000,4270000000,227000000,294000000,521000000,0
9503,臺東區中小企業銀行,,0,0,0,0,0,0,0,0,0,0
9503,中國輸出入銀行,,0,0,0,0,0,0,0,0,0,0
9503,大眾商業銀行,,9538000000,21929000000,31467000000,7551000000,14157000000,21708000000,1987000000,7772000000,9759000000,0
9503,萬泰商業銀行,,1586000000,2701000000,4288000000,1266000000,2241000000,3506000000,320000000,460000000,782000000,0
9503,日盛國際商業銀行,,3631000000,5703000000,9333000000,2966000000,4688000000,7654000000,665000000,1015000000,1679000000,1
9503,上海商業儲蓄銀行,,45057000000,53717000000,98774000000,18122000000,22426000000,40548000000,26935000000,31291000000,58226000000,0
9503,高新商業銀行,,0,0,0,0,0,0,0,0,0,0
