年月,銀行,銀行英文,全行外匯活期存款,全行外匯定期存款,全行總額,國內外匯活期存款,國內外匯定期存款,國內總額,海外外匯活期存款,海外外匯定期存款,海外總額,金控註記
10001,匯豐,,72907000000,30476000000,103383000000,45365000000,13706000000,59071000000,27542000000,16770000000,44312000000,0
10001,京城商業銀行,,1779000000,6203000000,7981000000,1654000000,4699000000,6353000000,125000000,1504000000,1628000000,0
10001,臺灣工業銀行,,1451000000,11167000000,12618000000,1142000000,3873000000,5015000000,309000000,7294000000,7603000000,0
10001,臺灣中小企業銀行,,56660000000,41231000000,97891000000,41104000000,28610000000,69714000000,15556000000,12621000000,28177000000,0
10001,外國銀行在臺分行,,122634000000,83430000000,206063000000,78908000000,51036000000,129944000000,43726000000,32394000000,76119000000,0
10001,台北富邦銀行,,83169000000,80696000000,163865000000,71806000000,66288000000,138094000000,11363000000,14408000000,25771000000,1
10001,華泰商業銀行,,1400000000,800000000,2200000000,1333000000,729000000,2062000000,67000000,71000000,138000000,0
10001,花旗,,297791000000,38414000000,336204000000,206410000000,23582000000,229992000000,91381000000,14832000000,106212000000,0
10001,安泰商業銀行,,7234000000,13943000000,21177000000,6470000000,12649000000,19119000000,764000000,1294000000,2058000000,0
10001,臺灣新光商業銀行,,17300000000,15796000000,33096000000,14573000000,12543000000,27116000000,2727000000,3253000000,5980000000,1
10001,聯邦商業銀行,,8463000000,18077000000,26540000000,6750000000,14036000000,20786000000,1713000000,4041000000,5754000000,0
10001,大台北商業銀行,,128000000,74000000,202000000,128000000,74000000,202000000,0,0,0,0
10001,永豐商業銀行,,79955000000,56481000000,136436000000,37512000000,26557000000,64070000000,42443000000,29924000000,72366000000,1
10001,三信商業銀行,,675000000,702000000,1377000000,667000000,682000000,1349000000,8000000,20000000,28000000,0
10001,板信商業銀行,,3269000000,3665000000,6934000000,2954000000,3159000000,6113000000,315000000,506000000,821000000,0
10001,元大商業銀行,,16240000000,20915000000,37155000000,14018000000,16957000000,30974000000,2222000000,3958000000,6181000000,1
10001,第一商業銀行,,132484000000,139307000000,271791000000,88455000000,84033000000,172488000000,44029000000,55274000000,99303000000,1
10001,國泰世華商業銀行,,71834000000,76318000000,148151000000,59217000000,43282000000,102499000000,12617000000,33036000000,45652000000,1
10001,華南商業銀行,,132089000000,100383000000,232471000000,92379000000,65526000000,157905000000,39710000000,34857000000,74566000000,1
10001,中國信託商業銀行,,155358000000,132177000000,287535000000,82618000000,35508000000,118126000000,72740000000,96669000000,169409000000,1
10001,台新國際商業銀行,,78742000000,43719000000,122462000000,61475000000,25026000000,86501000000,17267000000,18693000000,35961000000,1
10001,遠東國際商業銀行,,9768000000,39149000000,48917000000,8038000000,19547000000,27585000000,1730000000,19602000000,21332000000,0
10001,臺灣土地銀行,,24502000000,46175000000,70677000000,21093000000,29647000000,50739000000,3409000000,16528000000,19938000000,0
10001,玉山商業銀行,,53562000000,55547000000,109110000000,35048000000,36835000000,71884000000,18514000000,18712000000,37226000000,1
10001,合作金庫商業銀行,,76852000000,81094000000,157946000000,63545000000,62611000000,126157000000,13307000000,18483000000,31789000000,0
10001,中華開發工業銀行,,2967000000,11626000000,14594000000,1613000000,4265000000,5878000000,1354000000,7361000000,8716000000,1
10001,台中商業銀行,,7503000000,7380000000,14883000000,6333000000,5705000000,12038000000,1170000000,1675000000,2845000000,0
10001,慶豐商業銀行,,0,0,0,0,0,0,0,0,0,0
10001,兆豐國際商業銀行,,279128000000,254080000000,533208000000,141029000000,106001000000,247030000000,138099000000,148079000000,286178000000,1
10001,彰化商業銀行,,86948000000,90535000000,177483000000,58438000000,55277000000,113715000000,28510000000,35258000000,63768000000,1
10001,陽信商業銀行,,3378000000,3434000000,6812000000,2873000000,2765000000,5639000000,505000000,669000000,1173000000,0
10001,高雄銀行,,3706000000,4545000000,8250000000,3245000000,3355000000,6600000000,461000000,1190000000,1650000000,0
10001,中國輸出入銀行,,0,0,0,0,0,0,0,0,0,0
10001,大眾商業銀行,,25506000000,18556000000,44062000000,19581000000,13718000000,33300000000,5925000000,4838000000,10762000000,0
10001,萬泰商業銀行,,3363000000,1237000000,4600000000,3221000000,1237000000,4458000000,142000000,0,142000000,0
10001,日盛國際商業銀行,,7108000000,6501000000,13609000000,6110000000,4944000000,11054000000,998000000,1557000000,2555000000,1
10001,上海商業儲蓄銀行,,78347000000,69952000000,148299000000,31602000000,25749000000,57351000000,46745000000,44203000000,90948000000,0
10001,臺灣銀行,,90696000000,226959000000,317655000000,74029000000,191460000000,265489000000,16667000000,35499000000,52166000000,1
10001,渣打國際商業銀行,,73448000000,16739000000,90188000000,61585000000,13298000000,74883000000,11863000000,3441000000,15305000000,0
