年月,銀行,銀行英文,全行外匯活期存款,全行外匯定期存款,全行總額,國內外匯活期存款,國內外匯定期存款,國內總額,海外外匯活期存款,海外外匯定期存款,海外總額,金控註記
10204,匯豐,,85968000000,27608000000,113576000000,58846000000,16235000000,75081000000,27122000000,11373000000,38495000000,0
10204,京城商業銀行,,2285000000,3047000000,5332000000,1863000000,1929000000,3792000000,422000000,1118000000,1540000000,0
10204,臺灣工業銀行,,8730000000,18070000000,26801000000,5721000000,3741000000,9462000000,3009000000,14329000000,17339000000,0
10204,星展,,18714000000,15963000000,34677000000,13545000000,8509000000,22054000000,5169000000,7454000000,12623000000,0
10204,臺灣中小企業銀行,,68831000000,48392000000,117223000000,50589000000,34307000000,84896000000,18242000000,14085000000,32327000000,0
10204,台北富邦銀行,,112992000000,118898000000,231889000000,93994000000,81602000000,175596000000,18998000000,37296000000,56293000000,1
10204,合作金庫商業銀行,,98283000000,111289000000,209573000000,79717000000,79867000000,159584000000,18566000000,31422000000,49989000000,1
10204,華泰商業銀行,,1916000000,1890000000,3806000000,1752000000,1590000000,3342000000,164000000,300000000,464000000,0
10204,花旗,,269022000000,27924000000,296946000000,183139000000,19154000000,202292000000,85883000000,8770000000,94654000000,0
10204,安泰商業銀行,,10166000000,22489000000,32654000000,9225000000,17882000000,27107000000,941000000,4607000000,5547000000,0
10204,臺灣新光商業銀行,,33197000000,36724000000,69920000000,22971000000,22438000000,45409000000,10226000000,14286000000,24511000000,1
10204,聯邦商業銀行,,10167000000,24495000000,34662000000,8211000000,19363000000,27574000000,1956000000,5132000000,7088000000,0
10204,大台北商業銀行,,289000000,231000000,520000000,289000000,231000000,520000000,0,0,0,0
10204,永豐商業銀行,,120964000000,93063000000,214027000000,59551000000,41207000000,100757000000,61413000000,51856000000,113270000000,1
10204,三信商業銀行,,656000000,711000000,1367000000,621000000,694000000,1315000000,35000000,17000000,52000000,0
10204,板信商業銀行,,3813000000,4519000000,8331000000,3130000000,3894000000,7024000000,683000000,625000000,1307000000,0
10204,元大商業銀行,,22346000000,43994000000,66340000000,18665000000,28931000000,47596000000,3681000000,15063000000,18744000000,1
10204,外國銀行在臺分行,,105524000000,47131000000,152655000000,65971000000,21794000000,87765000000,39553000000,25337000000,64890000000,0
10204,第一商業銀行,,169715000000,150381000000,320097000000,117185000000,77725000000,194910000000,52530000000,72656000000,125187000000,1
10204,大陸地區銀行在臺分行,,621000000,4321000000,4943000000,621000000,4321000000,4943000000,0,0,0,0
10204,國泰世華商業銀行,,103722000000,98517000000,202239000000,83180000000,59273000000,142453000000,20542000000,39244000000,59786000000,1
10204,華南商業銀行,,159320000000,129694000000,289014000000,112424000000,79339000000,191763000000,46896000000,50355000000,97251000000,1
10204,中國信託商業銀行,,191838000000,186923000000,378762000000,95761000000,49558000000,145319000000,96077000000,137365000000,233443000000,1
10204,台新國際商業銀行,,91519000000,63379000000,154898000000,62906000000,31969000000,94875000000,28613000000,31410000000,60023000000,1
10204,遠東國際商業銀行,,14825000000,44412000000,59238000000,11253000000,20470000000,31723000000,3572000000,23942000000,27515000000,0
10204,臺灣土地銀行,,43712000000,53874000000,97586000000,38861000000,29622000000,68483000000,4851000000,24252000000,29103000000,0
10204,玉山商業銀行,,78684000000,82437000000,161121000000,50745000000,52513000000,103258000000,27939000000,29924000000,57863000000,1
10204,中華開發工業銀行,,6402000000,41544000000,47946000000,4046000000,27146000000,31192000000,2356000000,14398000000,16754000000,1
10204,台中商業銀行,,9653000000,12100000000,21752000000,8145000000,8575000000,16721000000,1508000000,3525000000,5031000000,0
10204,兆豐國際商業銀行,,364676000000,326520000000,691196000000,184466000000,117248000000,301715000000,180210000000,209272000000,389481000000,1
10204,彰化商業銀行,,110757000000,85188000000,195945000000,80197000000,51774000000,131972000000,30560000000,33414000000,63973000000,1
10204,陽信商業銀行,,3885000000,4747000000,8632000000,3373000000,4298000000,7671000000,512000000,449000000,961000000,0
10204,高雄銀行,,3669000000,5185000000,8854000000,3083000000,3795000000,6878000000,586000000,1390000000,1976000000,0
10204,中國輸出入銀行,,0,0,0,0,0,0,0,0,0,0
10204,大眾商業銀行,,26201000000,28910000000,55111000000,19595000000,19538000000,39133000000,6606000000,9372000000,15978000000,0
10204,萬泰商業銀行,,3815000000,8974000000,12788000000,3476000000,8222000000,11697000000,339000000,752000000,1091000000,0
10204,日盛國際商業銀行,,7680000000,13812000000,21492000000,6670000000,9424000000,16094000000,1010000000,4388000000,5398000000,1
10204,上海商業儲蓄銀行,,94257000000,104722000000,198980000000,37430000000,38225000000,75656000000,56827000000,66497000000,123324000000,0
10204,臺灣銀行,,127935000000,305205000000,433141000000,105772000000,193747000000,299518000000,22163000000,111458000000,133623000000,1
10204,澳盛,,65617000000,57846000000,123463000000,48294000000,24446000000,72739000000,17323000000,33400000000,50724000000,0
10204,渣打國際商業銀行,,79348000000,38550000000,117898000000,66444000000,30433000000,96877000000,12904000000,8117000000,21021000000,0
