年月,銀行,銀行英文,全行外匯活期存款,全行外匯定期存款,全行總額,國內外匯活期存款,國內外匯定期存款,國內總額,海外外匯活期存款,海外外匯定期存款,海外總額,金控註記
10105,匯豐,,79404000000,29250000000,108654000000,50244000000,17442000000,67685000000,29160000000,11808000000,40969000000,0
10105,京城商業銀行,,2215000000,3823000000,6038000000,2021000000,2360000000,4381000000,194000000,1463000000,1657000000,0
10105,臺灣工業銀行,,2004000000,14214000000,16218000000,1292000000,6237000000,7528000000,712000000,7977000000,8690000000,0
10105,星展,,9513000000,18345000000,27858000000,6899000000,12363000000,19261000000,2614000000,5982000000,8597000000,0
10105,臺灣中小企業銀行,,60067000000,43398000000,103465000000,43025000000,29665000000,72691000000,17042000000,13733000000,30774000000,0
10105,台北富邦銀行,,92945000000,114918000000,207862000000,77308000000,81035000000,158343000000,15637000000,33883000000,49519000000,1
10105,合作金庫商業銀行,,81772000000,95168000000,176940000000,65905000000,67732000000,133637000000,15867000000,27436000000,43303000000,1
10105,華泰商業銀行,,1535000000,1427000000,2962000000,1440000000,1159000000,2599000000,95000000,268000000,363000000,0
10105,花旗,,280027000000,35271000000,315298000000,191712000000,23430000000,215142000000,88315000000,11841000000,100156000000,0
10105,安泰商業銀行,,8703000000,16599000000,25302000000,6866000000,14015000000,20881000000,1837000000,2584000000,4421000000,0
10105,臺灣新光商業銀行,,27785000000,34393000000,62178000000,20429000000,22949000000,43378000000,7356000000,11444000000,18800000000,1
10105,聯邦商業銀行,,8512000000,21536000000,30048000000,6876000000,17076000000,23952000000,1636000000,4460000000,6096000000,0
10105,大台北商業銀行,,179000000,154000000,333000000,179000000,154000000,333000000,0,0,0,0
10105,永豐商業銀行,,96382000000,68002000000,164384000000,53457000000,24203000000,77661000000,42925000000,43799000000,86723000000,1
10105,三信商業銀行,,638000000,650000000,1287000000,615000000,628000000,1243000000,23000000,22000000,44000000,0
10105,板信商業銀行,,3287000000,3855000000,7142000000,2767000000,3409000000,6175000000,520000000,446000000,967000000,0
10105,元大商業銀行,,20805000000,33919000000,54724000000,18747000000,26194000000,44942000000,2058000000,7725000000,9782000000,1
10105,外國銀行在臺分行,,130712000000,87804000000,218516000000,77736000000,38495000000,116230000000,52976000000,49309000000,102286000000,0
10105,第一商業銀行,,151190000000,149049000000,300239000000,100123000000,81715000000,181838000000,51067000000,67334000000,118401000000,1
10105,國泰世華商業銀行,,90111000000,103435000000,193546000000,71352000000,63602000000,134954000000,18759000000,39833000000,58592000000,1
10105,華南商業銀行,,140316000000,113535000000,253850000000,94041000000,70909000000,164950000000,46275000000,42626000000,88900000000,1
10105,中國信託商業銀行,,168070000000,169330000000,337400000000,87415000000,57362000000,144777000000,80655000000,111968000000,192623000000,1
10105,台新國際商業銀行,,91490000000,71846000000,163337000000,60598000000,40088000000,100686000000,30892000000,31758000000,62651000000,1
10105,遠東國際商業銀行,,11351000000,36076000000,47426000000,8925000000,13112000000,22037000000,2426000000,22964000000,25389000000,0
10105,臺灣土地銀行,,28555000000,52890000000,81445000000,25000000000,29671000000,54671000000,3555000000,23219000000,26774000000,0
10105,玉山商業銀行,,62091000000,77229000000,139320000000,39329000000,46312000000,85641000000,22762000000,30917000000,53679000000,1
10105,中華開發工業銀行,,3106000000,31878000000,34985000000,1777000000,18502000000,20279000000,1329000000,13376000000,14706000000,1
10105,台中商業銀行,,8500000000,7228000000,15728000000,6740000000,5494000000,12234000000,1760000000,1734000000,3494000000,0
10105,兆豐國際商業銀行,,311512000000,290579000000,602091000000,154931000000,100529000000,255460000000,156581000000,190050000000,346631000000,1
10105,彰化商業銀行,,94094000000,89593000000,183687000000,65642000000,54217000000,119859000000,28452000000,35376000000,63828000000,1
10105,陽信商業銀行,,3453000000,3200000000,6652000000,2919000000,2923000000,5841000000,534000000,277000000,811000000,0
10105,高雄銀行,,3221000000,4979000000,8200000000,2587000000,3501000000,6088000000,634000000,1478000000,2112000000,0
10105,中國輸出入銀行,,0,0,0,0,0,0,0,0,0,0
10105,大眾商業銀行,,22119000000,31475000000,53594000000,15642000000,20972000000,36614000000,6477000000,10503000000,16980000000,0
10105,萬泰商業銀行,,2954000000,3815000000,6769000000,2832000000,3716000000,6548000000,122000000,99000000,221000000,0
10105,日盛國際商業銀行,,7639000000,8498000000,16137000000,6547000000,6990000000,13537000000,1092000000,1508000000,2600000000,1
10105,上海商業儲蓄銀行,,85724000000,88306000000,174031000000,32078000000,30050000000,62128000000,53646000000,58256000000,111903000000,0
10105,臺灣銀行,,110405000000,229953000000,340358000000,90289000000,171621000000,261909000000,20116000000,58332000000,78449000000,1
10105,渣打國際商業銀行,,81957000000,31279000000,113236000000,58153000000,25477000000,83630000000,23804000000,5802000000,29606000000,0
