年月,銀行,銀行英文,全行外匯活期存款,全行外匯定期存款,全行總額,國內外匯活期存款,國內外匯定期存款,國內總額,海外外匯活期存款,海外外匯定期存款,海外總額,金控註記
10201,匯豐,,87146000000,28344000000,115490000000,58634000000,17190000000,75825000000,28512000000,11154000000,39665000000,0
10201,京城商業銀行,,2079000000,3263000000,5342000000,1825000000,2018000000,3842000000,254000000,1245000000,1500000000,0
10201,臺灣工業銀行,,6235000000,13192000000,19427000000,3886000000,5209000000,9095000000,2349000000,7983000000,10332000000,0
10201,星展,,15246000000,18137000000,33383000000,12098000000,7911000000,20009000000,3148000000,10226000000,13374000000,0
10201,臺灣中小企業銀行,,66726000000,44622000000,111349000000,48333000000,30420000000,78753000000,18393000000,14202000000,32596000000,0
10201,台北富邦銀行,,103433000000,117952000000,221384000000,86583000000,78065000000,164647000000,16850000000,39887000000,56737000000,1
10201,合作金庫商業銀行,,91294000000,111937000000,203231000000,72834000000,81602000000,154436000000,18460000000,30335000000,48795000000,1
10201,華泰商業銀行,,1713000000,2561000000,4273000000,1509000000,1843000000,3351000000,204000000,718000000,922000000,0
10201,花旗,,315281000000,29089000000,344370000000,218573000000,20050000000,238624000000,96708000000,9039000000,105746000000,0
10201,安泰商業銀行,,10094000000,20748000000,30842000000,8759000000,17748000000,26507000000,1335000000,3000000000,4335000000,0
10201,臺灣新光商業銀行,,33793000000,37789000000,71582000000,24476000000,24253000000,48730000000,9317000000,13536000000,22852000000,1
10201,聯邦商業銀行,,9303000000,24145000000,33448000000,7652000000,19283000000,26935000000,1651000000,4862000000,6513000000,0
10201,大台北商業銀行,,263000000,179000000,441000000,263000000,179000000,441000000,0,0,0,0
10201,永豐商業銀行,,119900000000,70799000000,190699000000,63344000000,23981000000,87325000000,56556000000,46818000000,103374000000,1
10201,三信商業銀行,,668000000,717000000,1385000000,623000000,700000000,1323000000,45000000,17000000,62000000,0
10201,板信商業銀行,,3458000000,4872000000,8329000000,2931000000,4255000000,7186000000,527000000,617000000,1143000000,0
10201,元大商業銀行,,19787000000,38501000000,58288000000,16499000000,26662000000,43161000000,3288000000,11839000000,15127000000,1
10201,外國銀行在臺分行,,159985000000,99019000000,259003000000,97437000000,45728000000,143165000000,62548000000,53291000000,115838000000,0
10201,第一商業銀行,,162625000000,145573000000,308199000000,110814000000,73594000000,184408000000,51811000000,71979000000,123791000000,1
10201,大陸地區銀行在臺分行,,1141000000,144000000,1285000000,1141000000,144000000,1285000000,0,0,0,0
10201,國泰世華商業銀行,,115991000000,99156000000,215147000000,95772000000,62871000000,158643000000,20219000000,36285000000,56504000000,1
10201,華南商業銀行,,152304000000,124946000000,277250000000,102405000000,78478000000,180883000000,49899000000,46468000000,96367000000,1
10201,中國信託商業銀行,,187409000000,164775000000,352184000000,91426000000,44640000000,136065000000,95983000000,120135000000,216119000000,1
10201,台新國際商業銀行,,88495000000,76573000000,165068000000,61824000000,42276000000,104100000000,26671000000,34297000000,60968000000,1
10201,遠東國際商業銀行,,12560000000,37460000000,50020000000,9426000000,16635000000,26061000000,3134000000,20825000000,23959000000,0
10201,臺灣土地銀行,,40899000000,46856000000,87755000000,37029000000,23797000000,60826000000,3870000000,23059000000,26929000000,0
10201,玉山商業銀行,,75189000000,81881000000,157070000000,47270000000,50462000000,97732000000,27919000000,31419000000,59338000000,1
10201,中華開發工業銀行,,4004000000,38090000000,42094000000,2285000000,23804000000,26089000000,1719000000,14286000000,16005000000,1
10201,台中商業銀行,,9597000000,10864000000,20461000000,8105000000,7494000000,15599000000,1492000000,3370000000,4862000000,0
10201,兆豐國際商業銀行,,344928000000,290245000000,635173000000,170533000000,99435000000,269967000000,174395000000,190810000000,365206000000,1
10201,彰化商業銀行,,105696000000,85587000000,191283000000,74964000000,48182000000,123145000000,30732000000,37405000000,68138000000,1
10201,陽信商業銀行,,3761000000,4455000000,8217000000,3238000000,4030000000,7268000000,523000000,425000000,949000000,0
10201,高雄銀行,,3994000000,5328000000,9323000000,3419000000,3753000000,7172000000,575000000,1575000000,2151000000,0
10201,中國輸出入銀行,,0,0,0,0,0,0,0,0,0,0
10201,大眾商業銀行,,27734000000,34867000000,62601000000,21477000000,22951000000,44428000000,6257000000,11916000000,18173000000,0
10201,萬泰商業銀行,,3928000000,5074000000,9002000000,3708000000,4500000000,8208000000,220000000,574000000,794000000,0
10201,日盛國際商業銀行,,8221000000,12039000000,20260000000,7192000000,8701000000,15892000000,1029000000,3338000000,4368000000,1
10201,上海商業儲蓄銀行,,94148000000,99327000000,193474000000,35644000000,37487000000,73131000000,58504000000,61840000000,120343000000,0
10201,臺灣銀行,,120853000000,241039000000,361892000000,100243000000,177144000000,277387000000,20610000000,63895000000,84505000000,1
10201,渣打國際商業銀行,,76891000000,50929000000,127819000000,64587000000,39973000000,104560000000,12304000000,10956000000,23259000000,0
